"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0~9세","2022년08월_계_10~19세","2022년08월_계_20~29세","2022년08월_계_30~39세","2022년08월_계_40~49세","2022년08월_계_50~59세","2022년08월_계_60~69세","2022년08월_계_70~79세","2022년08월_계_80~89세","2022년08월_계_90~99세","2022년08월_계_100세 이상","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0~9세","2022년08월_남_10~19세","2022년08월_남_20~29세","2022년08월_남_30~39세","2022년08월_남_40~49세","2022년08월_남_50~59세","2022년08월_남_60~69세","2022년08월_남_70~79세","2022년08월_남_80~89세","2022년08월_남_90~99세","2022년08월_남_100세 이상","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0~9세","2022년08월_여_10~19세","2022년08월_여_20~29세","2022년08월_여_30~39세","2022년08월_여_40~49세","2022년08월_여_50~59세","2022년08월_여_60~69세","2022년08월_여_70~79세","2022년08월_여_80~89세","2022년08월_여_90~99세","2022년08월_여_100세 이상"
"서울특별시  (1100000000)","9,488,454","9,488,454","558,318","752,330","1,411,136","1,429,322","1,465,352","1,505,522","1,293,459","714,152","314,262","42,895","1,706","4,601,295","4,601,295","286,797","384,757","676,216","713,972","725,060","741,762","611,209","324,349","125,568","11,191","414","4,887,159","4,887,159","271,521","367,573","734,920","715,350","740,292","763,760","682,250","389,803","188,694","31,704","1,292"
"서울특별시 종로구 (1111000000)","143,499","143,499","6,592","10,183","22,696","19,437","20,412","24,639","20,452","11,626","6,465","954","43","69,408","69,408","3,321","5,047","10,819","9,672","9,840","12,319","10,255","5,205","2,615","300","15","74,091","74,091","3,271","5,136","11,877","9,765","10,572","12,320","10,197","6,421","3,850","654","28"
"서울특별시 종로구 청운효자동(1111051500)","11,766","11,766","694","1,120","1,486","1,555","2,059","1,897","1,409","928","545","70","3","5,392","5,392","356","588","726","698","905","852","652","367","226","21","1","6,374","6,374","338","532","760","857","1,154","1,045","757","561","319","49","2"
"서울특별시 종로구 사직동(1111053000)","9,278","9,278","526","671","1,139","1,473","1,421","1,538","1,205","716","501","87","1","4,124","4,124","263","292","496","633","628","698","570","298","209","36","1","5,154","5,154","263","379","643","840","793","840","635","418","292","51","0"
"서울특별시 종로구 삼청동(1111054000)","2,384","2,384","91","164","289","303","344","365","407","236","153","28","4","1,130","1,130","41","96","141","137","165","183","186","111","54","14","2","1,254","1,254","50","68","148","166","179","182","221","125","99","14","2"
"서울특별시 종로구 부암동(1111055000)","9,411","9,411","468","836","1,190","1,192","1,496","1,676","1,323","742","406","77","5","4,476","4,476","232","462","611","596","660","773","617","339","166","20","0","4,935","4,935","236","374","579","596","836","903","706","403","240","57","5"
"서울특별시 종로구 평창동(1111056000)","17,915","17,915","1,117","1,542","2,236","2,147","2,656","3,229","2,701","1,342","788","147","10","8,345","8,345","590","748","1,106","1,004","1,187","1,450","1,288","609","322","39","2","9,570","9,570","527","794","1,130","1,143","1,469","1,779","1,413","733","466","108","8"
"서울특별시 종로구 무악동(1111057000)","8,106","8,106","600","948","856","858","1,352","1,443","1,051","592","360","41","5","3,757","3,757","270","416","406","394","631","731","500","251","145","12","1","4,349","4,349","330","532","450","464","721","712","551","341","215","29","4"
"서울특별시 종로구 교남동(1111058000)","9,944","9,944","783","798","1,155","1,507","1,770","1,613","1,190","711","379","36","2","4,579","4,579","386","381","544","680","819","785","538","278","158","10","0","5,365","5,365","397","417","611","827","951","828","652","433","221","26","2"
"서울특별시 종로구 가회동(1111060000)","3,978","3,978","170","294","461","520","657","692","574","377","200","33","0","1,830","1,830","96","141","213","240","316","327","267","147","77","6","0","2,148","2,148","74","153","248","280","341","365","307","230","123","27","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,217","7,217","172","217","1,010","969","900","1,249","1,404","814","416","61","5","4,280","4,280","87","110","501","555","552","860","927","460","208","16","4","2,937","2,937","85","107","509","414","348","389","477","354","208","45","1"
"서울특별시 종로구 종로5.6가동(1111063000)","5,081","5,081","83","191","1,166","762","515","871","758","473","231","29","2","2,701","2,701","37","88","534","440","309","506","451","226","100","9","1","2,380","2,380","46","103","632","322","206","365","307","247","131","20","1"
"서울특별시 종로구 이화동(1111064000)","7,161","7,161","211","354","1,594","1,220","875","1,074","909","563","323","38","0","3,394","3,394","103","168","732","617","438","545","417","247","112","15","0","3,767","3,767","108","186","862","603","437","529","492","316","211","23","0"
"서울특별시 종로구 혜화동(1111065000)","16,390","16,390","593","1,305","4,440","2,018","2,036","2,350","1,685","1,146","703","111","3","7,889","7,889","296","652","2,202","1,062","976","1,123","802","476","267","32","1","8,501","8,501","297","653","2,238","956","1,060","1,227","883","670","436","79","2"
"서울특별시 종로구 창신제1동(1111067000)","4,847","4,847","123","200","604","599","548","953","1,015","516","260","29","0","2,590","2,590","61","108","311","361","281","533","572","251","103","9","0","2,257","2,257","62","92","293","238","267","420","443","265","157","20","0"
"서울특별시 종로구 창신제2동(1111068000)","7,825","7,825","185","394","1,057","925","907","1,750","1,435","772","354","46","0","4,026","4,026","102","208","555","526","486","917","738","339","134","21","0","3,799","3,799","83","186","502","399","421","833","697","433","220","25","0"
