시군명,가축전염병명,농장소재지,축종명,감염두수,진단일자,병성감정기관명
가평군,뉴캣슬병,경기도 가평군 하면,닭,70,2000-05-23,동북부지소
가평군,결핵병,경기도 가평군 청평면 상천리,소,1,2002-10-10,동북부지소
가평군,결핵병,경기도 가평군 하면 현리,소-육우,5,2003-09-05,동북부지소
가평군,가금티프스,경기도 가평군 설악면 위곡리,닭-육계,2000,2003-11-10,동북부지소
가평군,가금티프스,경기도 가평군 설악면 송산리,닭-육계,8000,2003-11-24,동북부지소
가평군,가금티프스,경기도 가평군 설악면 가일리,닭-산란계,2000,2003-11-29,제일바이오
가평군,가금티프스,경기도 가평군 설악면 가일리,닭-산란계,2000,2003-11-29,제일바이오
가평군,뉴캣슬병,경기도 가평군 청평면 상천리,닭-육계,16000,2004-01-17,동북부지소
가평군,가금티프스,경기도 가평군 설악면 이천리,닭-육계,10000,2004-04-03,동북부지소
가평군,결핵병,경기도 가평군 설악면 회곡리,소-젖소,6,2004-06-03,동북부지소
가평군,가금티프스,경기도 가평군 설악면 송산리,닭-육계,24000,2004-07-21,조류질병과
가평군,가금티프스,경기도 가평군 설악면 가일리,닭-산란계,1000,2004-10-16,동북부지소
가평군,가금티프스,경기도 가평군 설악면 선촌리,닭-육계,5500,2004-11-17,동북부지소
가평군,돼지생식기호흡기증후군,경기도 가평군 가평읍 읍내리,돼지-육성돈,20,2005-03-23,동북부지소
가평군,돼지생식기호흡기증후군,경기도 가평군 가평읍 읍내리,돼지-육성돈,20,2005-03-23,동북부지소
가평군,결핵병,경기도 가평군 가평읍 읍내리,소-젖소,1,2005-04-21,동북부지소
가평군,브루셀라병,경기도 가평군 설악면 창의리,소-한우,1,2005-04-28,동북부지소
가평군,브루셀라병,경기도 가평군 설악면 선촌리,소-한우,2,2005-05-04,동북부지소
가평군,브루셀라병,경기도 가평군 설악면 창의리,소-한우,4,2005-05-16,동북부지소
가평군,결핵병,경기도 가평군 설악면 신천리,소-젖소,2,2005-06-03,동북부지소
가평군,결핵병,경기도 가평군 설악면 신천리,소-젖소,4,2005-06-03,동북부지소
가평군,브루셀라병,경기도 가평군 설악면 창의리,소-한우,3,2005-06-07,동북부지소
가평군,브루셀라병,경기도 가평군 설악면 창의리,소-한우,1,2005-06-07,동북부지소
가평군,브루셀라병,경기도 가평군 설악면 선촌리,소-한우,2,2005-08-29,동북부지소
가평군,결핵병,경기도 가평군 하면 현리,소-젖소,2,2005-10-13,동북부지소
가평군,결핵병,경기도 가평군 상면 태봉리,소-젖소,1,2005-10-14,동북부지소
가평군,결핵병,경기도 가평군 하면 현리,소-젖소,2,2005-12-16,동북부지소
가평군,결핵병,경기도 가평군 상면 태봉리,소-젖소,1,2005-12-16,동북부지소
가평군,브루셀라병,경기도 가평군 북면 목동리,소-한우,2,2005-12-21,동북부지소
가평군,브루셀라병,경기도 가평군 청평면 대성리,소-한우,1,2006-01-11,동북부지소
가평군,브루셀라병,경기도 가평군 상면 태봉리,소-한우,4,2006-02-16,동북부지소
가평군,브루셀라병,경기도 가평군 상면 태봉리,소-젖소,3,2006-04-06,동북부지소
가평군,브루셀라병,경기도 가평군 상면 태봉리,소-젖소,2,2006-05-17,동북부지소
가평군,브루셀라병,경기도 가평군 설악면 선촌리,소-한우,2,2006-06-01,동북부지소
가평군,브루셀라병,경기도 가평군 상면 태봉리,소-젖소,3,2006-08-01,동북부지소
가평군,브루셀라병,경기도 가평군 하면 현리,소-젖소,1,2006-08-07,동북부지소
가평군,브루셀라병,경기도 가평군 상면 태봉리,소-젖소,2,2006-08-07,동북부지소
가평군,브루셀라병,경기도 가평군 상면 태봉리,소-젖소,6,2006-08-07,동북부지소
가평군,브루셀라병,경기도 가평군 상면 태봉리,소-젖소,6,2006-10-16,동북부지소
가평군,결핵병,경기도 가평군 상면,소-젖소,1,2006-10-20,동북부지소
가평군,결핵병,경기도 가평군 하면 현리,소-젖소,3,2006-10-20,동북부지소
