시군명,구분명,도로명주소,지번주소,우편번호,시설용량,설치일자,처리방식,방류하천명,비고,WGS84위도,WGS84경도
용인시,용인 가축분뇨 분뇨 병합처리시설,경기도 용인시 처인구 포곡읍 옥현로 58,경기도 용인시 처인구 포곡읍 유운리 1-1번지,17022,1100,2005-07-31,하수연계(HBR-∥),경 안 천,,37.3029182461,127.2264222089
용인시,용인 백암 가축분뇨공공처리시설,경기도 용인시 처인구 백암면 근창로35번길 176-1,경기도 용인시 처인구 백암면 근삼리 74번지,17181,200,2021-01-14,정화(액상부식법),청 미 천,,37.1501164469,127.3731656789
남양주시,남양주시 가축분뇨공공처리시설,경기도 남양주시 진건읍 금강로380번길 67,경기도 남양주시 진건읍 진관리 875번지,12247,100,2000-12-30,하수연계(B3),왕 숙 천,,37.6354137050,127.1507551179
이천시,이천 가축분뇨공공처리시설,경기도 이천시 황무로 1081-200,경기도 이천시 갈산동 2번지,17349,90,1994-02-28,하수연계(BIOSUF),복 하 천,,37.2918279438,127.4750159631
이천시,장호원 가축분뇨공공처리시설,경기도 이천시 장호원읍 장여로 246,경기도 이천시 장호원읍 노탑리 427-2번지,17417,220,2012-11-30,하수연계(AOAO),청 미 천,,37.1390667031,127.6271741483
광주시,광주 가축분뇨공공처리시설,경기도 광주시 초월읍 현산로 130-24,경기도 광주시 초월읍 도평리 8-1번지,12734,100,1997-12-30,하수연계(BCS),곤지암천,,37.4000309389,127.2930522623
여주시,여주시 가축분뇨공공처리시설,경기도 여주시 영릉로 180,경기도 여주시 하동 15-2번지,12642,130,1998-01-09,하수연계(BIOSUF),남 한 강,,37.3017965420,127.6192792584
여주시,여주시 가축분뇨공공처리시설(액비),경기도 여주시 대신면 풍양1길 96-140,경기도 여주시 대신면 당산리 378-1번지,12610,80,2006-12-01,자원화(액비),미 방 류,,37.3643515616,127.5758331260
양평군,양평군 가축분뇨공공처리시설,경기도 양평군 옥천면 큰돌곡길 36,경기도 양평군 옥천면 옥천리 7번지,12507,150,1997-08-05,하수연계(BIOSUF),사 탄 천,,37.5165176620,127.4816455102
가평군,가평군 분뇨처리시설,경기도 가평군 조종면 조종내길 57,경기도 가평군 조종면 현리 567-10번지,12438,20,2003-05-18,정화(액상부식법),조 종 천,,37.8155680435,127.3530671656
화성시,장안 가축분뇨공공처리시설,경기도 화성시 장안면 고해길 27,경기도 화성시 장안면 독정리 34-6번지,18583,70,2004-12-28,자원화(액비),미 방 류,,37.0683122095,126.8650848096
화성시,화성시 가축분뇨공공처리시설,,경기도 화성시 마도면 청원리 화성호간척지 4공구,,190,2012-08-02,하수연계(BCS),남 양 천,,,
안성시,안성시 가축분뇨공공처리시설,경기도 안성시 대덕면 신두만곡로 262-19,경기도 안성시 대덕면 죽리 665-2번지,17547,100,2004-06-30,하수연계(BIOSUF),안 성 천,,36.9880986184,127.2041242310
의왕시,의왕시 가축분뇨공공처리시설,경기도 의왕시 왕송못동로 289,경기도 의왕시 월암동 568번지,16107,30,2005-12-30,하수연계(BOS),황구지천,,37.3062015775,126.9514013519
시흥시,시흥 가축분뇨 분뇨 병합처리시설,경기도 시흥시 공단2대로 14,경기도 시흥시 정왕동 2163번지,15099,20,2004-06-18,하수연계(B3),서 해,,37.3372572599,126.6967246521
파주시,파주시 가축분뇨공공처리시설,경기도 파주시 파주읍 통일로 1089-100,경기도 파주시 파주읍 봉암리 1001-1번지,10839,200,2000-11-07,하수연계(BIOSUF),문 산 천,,37.8064002966,126.7876942550
파주시,파주시 축분혼합공공처리시설,경기도 파주시 파주읍 통일로 1089-100,경기도 파주시 파주읍 봉암리 1001-1번지,10839,60,2004-09-09,자원화(퇴비화),미 방 류,,37.8064002966,126.7876942550
파주시,파주축협 가축분뇨공공처리시설,경기도 파주시 파평면 장마루1길 283-50,경기도 파주시 파평면 덕천리 542번지,10801,70,2018-07-13,자원화(퇴비화),미 방 류,,37.9402221836,126.8496114832
포천시,영중 가축분뇨공공처리시설,경기도 포천시 영중면 가영로535번길 143,경기도 포천시 영중면 영송리 712번지,11130,100,2001-12-30,정화(BCS),포 천 천,,38.0136518631,127.1990500571
양주시,양주시 가축분뇨공공처리시설,경기도 양주시 은현면 은남로 158,경기도 양주시 은현면 봉암리 47번지,11426,150,2015-09-16,하수연계(BCS),신 천,,37.8937342398,127.0075300270
연천군,연천군 가축분뇨공공처리시설,경기도 연천군 군남면 황남로 70-4,경기도 연천군 군남면 남계리 24-1번지,11008,150,1997-07-15,하수연계(액상부식법),한 탄 강,,38.0248705225,127.0476250275

