시군명,농장명,축종명,상세구분,사육두수(마리),소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자,비고
가평군,광진,닭,육계,74000,12463,,경기도 가평군 설악면 위곡리 373-3,37.6522827026,127.5169496308,2021-06-28,
가평군,다손,닭,육계,45000,12469,,경기도 가평군 설악면 천안리 126-1,37.6347837414,127.4832836418,2021-06-28,
가평군,대기농산(유) 농업회사법인,닭,산란계,230000,12469,경기도 가평군 설악면 유명로 1090-246,경기도 가평군 설악면 천안리 3-4번지,37.6361823588,127.4879292108,2021-06-28,
가평군,마장,닭,웅추,80000,12402,경기도 가평군 북면 화악지암길 223-16,경기도 가평군 북면 화악리 255번지,37.9442490665,127.5749456070,2021-06-28,
가평군,무백,닭,육계,35000,12416,경기도 가평군 가평읍 석봉로3번길 160-58,경기도 가평군 가평읍 대곡리 594번지,37.8267783324,127.4941707141,2021-06-28,
가평군,배취,닭,육계,25000,12463,경기도 가평군 설악면 한서로210번길 17-42,경기도 가평군 설악면 위곡리 801번지,37.6680535729,127.5146159357,2021-06-28,
가평군,상원,닭,육계,25000,12411,경기도 가평군 가평읍 잎너비길 35-237,경기도 가평군 가평읍 읍내리 87번지,37.8506447235,127.5115714886,2021-06-28,
가평군,상철,닭,웅추,85000,12402,경기도 가평군 북면 화악지암길 223-109,경기도 가평군 북면 화악리 270-3번지,37.9436188274,127.5738865192,2021-06-28,
가평군,새벽숲,닭,산란계,600,12432,경기도 가평군 조종면 꽃동네길 19-26,경기도 가평군 조종면 운악리 530번지,37.8825224272,127.3525425704,2021-06-28,
가평군,샘골,닭,육계,45000,12472,경기도 가평군 설악면 평촌길 136,경기도 가평군 설악면 방일리 605번지,37.6113688647,127.4985724086,2021-06-28,
가평군,석순,닭,육계,20000,12424,경기도 가평군 가평읍 달전천벚꽃길 201,경기도 가평군 가평읍 하색리 191-5번지,37.8068953828,127.4980688069,2021-06-28,
가평군,선달,닭,웅추,90000,12409,경기도 가평군 가평읍 각담말길 143,경기도 가평군 가평읍 마장리 203번지,37.8697250213,127.5156107454,2021-06-28,
가평군,성주,닭,육계,35000,12472,경기도 가평군 설악면 양방가루재길 37-6,경기도 가평군 설악면 방일리 81-1번지,37.6262140167,127.4960449572,2021-06-28,
가평군,승현,닭,육계,120000,12409,경기도 가평군 가평읍 각담말길 115-10,경기도 가평군 가평읍 마장리 228-1번지,37.8681298095,127.5147804325,2021-06-28,
가평군,안말,닭,육계,30000,12463,경기도 가평군 설악면 한서로 213-30,경기도 가평군 설악면 위곡리 728번지,37.6703612209,127.5127567432,2021-06-28,
가평군,언덕,닭,육계,65000,12456,경기도 가평군 청평면 호반로 1233,경기도 가평군 청평면 고성리 438-6번지,37.7161588440,127.5009644647,2021-06-28,
가평군,에덴2,닭,육계,40000,12472,경기도 가평군 설악면 유명로 1028-95,경기도 가평군 설악면 방일리 478-1번지,37.6303598645,127.4901061307,2021-06-28,
가평군,영기,닭,웅추,100000,12409,경기도 가평군 가평읍 각담말길 151-32,경기도 가평군 가평읍 마장리 209-2번지,37.8694187761,127.5140189176,2021-06-28,
가평군,오석,닭,육계,50000,12472,경기도 가평군 설악면 양방가루재길 89-31,경기도 가평군 설악면 방일리 13-4번지,37.6312435899,127.4985266951,2021-06-28,
가평군,옥준,닭,육계,73000,12424,경기도 가평군 가평읍 달전천벚꽃길 173-29,경기도 가평군 가평읍 하색리 212번지,37.8084817209,127.5000909145,2021-06-28,
가평군,우리,닭,육계,70000,12431,경기도 가평군 조종면 명지산로 224,경기도 가평군 조종면 상판리 358-1번지,37.8933301392,127.3686485043,2021-06-28,
가평군,원진,닭,웅추,105000,12409,경기도 가평군 가평읍 각담말길 174,경기도 가평군 가평읍 마장리 208-1번지,37.8708159063,127.5131550660,2021-06-28,
가평군,윤영,닭,육계,102000,12409,경기도 가평군 가평읍 각담말길 89-16,경기도 가평군 가평읍 마장리 255,37.8650024473,127.5132222468,2021-06-28,
가평군,이화,닭,웅추,89000,12409,경기도 가평군 가평읍 각담말길 134-17,경기도 가평군 가평읍 마장리 222번지,37.8679764308,127.5159742010,2021-06-28,
가평군,인홍,닭,육계,18000,12464,경기도 가평군 설악면 한서로156번길 101-170,경기도 가평군 설악면 창의리 285-2번지,37.6607265158,127.5036394758,2021-06-28,
가평군,일어나,닭,육계,71000,12470,경기도 가평군 설악면 엄소속골길 43-12,경기도 가평군 설악면 엄소리 399번지,37.6497470527,127.4834378946,2021-06-28,
가평군,정자,닭,백세미,43000,12442,경기도 가평군 상면 아랫벌길 22-48,경기도 가평군 상면 태봉리 28-1번지,37.7956790739,127.3375064333,2021-06-28,
가평군,정회,닭,육계,30000,12408,경기도 가평군 가평읍 아랫마장길 29-37,경기도 가평군 가평읍 승안리 93-20번지,37.8437953047,127.5010797827,2021-06-28,
가평군,주영,닭,웅추,90000,12402,경기도 가평군 북면 화악지암길 223-85,경기도 가평군 북면 화악리 269-1번지,37.9430247081,127.5727022934,2021-06-28,
가평군,진성,닭,육계,30000,12464,경기도 가평군 설악면 한서로156번길 93,경기도 가평군 설악면 창의리 270-4번지,37.6624210281,127.5039683632,2021-06-28,
가평군,찬호,닭,산란계,300,12401,경기도 가평군 북면 가화로 2159-34,경기도 가평군 북면 도대리 282-4,37.9409284390,127.4873787852,2021-06-28,
가평군,창진,닭,웅추,95000,12402,경기도 가평군 북면 화악지암길 160-229,경기도 가평군 북면 화악리 92번지,37.9362693575,127.5798309144,2021-06-28,
가평군,창현,닭,육계,28000,12463,경기도 가평군 설악면 한서로210번길 103,경기도 가평군 설악면 위곡리 461-2번지,37.6608965246,127.5175283624,2021-06-28,
가평군,태우,닭,육계,36000,12463,경기도 가평군 설악면 음동길 9,경기도 가평군 설악면 위곡리 894-2번지,37.6562187599,127.5161101191,2021-06-28,
가평군,한흥,닭,토종닭,20000,12459,경기도 가평군 설악면 용문천길 70,경기도 가평군 설악면 회곡리 16번지,37.6874563055,127.4692407938,2021-06-28,
가평군,해진,닭,육계,18000,12464,경기도 가평군 설악면 한서로156번길 23-22,경기도 가평군 설악면 창의리 156-1번지,37.6677207013,127.5081413598,2021-06-28,
가평군,혁식,닭,백세미,73000,12463,경기도 가평군 설악면 한서로210번길 283-9,경기도 가평군 설악면 위곡리 342-1번지,37.6454289595,127.5207100048,2021-06-28,
가평군,호현,닭,육계,80000,12402,경기도 가평군 북면 화악지암길 223-83,경기도 가평군 북면 화악리 269-2번지,37.9431690351,127.5725089571,2021-06-28,
고양시,강매농장,닭,산란계,1000,10441,경기도 고양시 덕양구 강매로 136,경기도 고양시 덕양구 강매동 662-2번지,37.6003751878,126.8433147644,2021-06-24,
고양시,경오농장,닭,육계,120,10454,,경기도 고양시 덕양구 주교동 1404번지 0호,37.6541874290,126.8190406808,2021-06-24,
고양시,고골농장,닭,육계,1000,10265,,경기도 고양시 덕양구 관산동 605번지 13호,37.7125994897,126.8675380965,2021-06-24,
고양시,고양양계,닭,육계,18000,10255,"경기도 고양시 일산동구 공릉천로 406-124, 1동 (지영동)",경기도 고양시 일산동구 지영동 562번지,37.7278484649,126.8318528526,2021-06-24,
고양시,고양축산영농조합법인,닭,육계,39000,10255,경기도 고양시 일산동구 공릉천로 406-124,경기도 고양시 일산동구 지영동 562번지,37.7278484649,126.8318528526,2021-06-24,
고양시,구구축산농원,닭,육계,40000,10289,경기도 고양시 일산동구 사리현로216번길 153,경기도 고양시 일산동구 사리현동 546번지,37.6882475905,126.8387978999,2021-06-24,
고양시,구현농장,오리,,213,10427,경기도 고양시 덕양구 신평길 254,경기도 고양시 덕양구 신평동 26-176번지,37.6281321544,126.7807749293,2021-06-24,
고양시,굿모닝농장,닭,산란계,640,10313,경기도 고양시 일산동구 성현로268번길 68-22,경기도 고양시 일산동구 성석동 69번지,37.7034673254,126.8114027523,2021-06-24,
고양시,금화농장,닭,육계,28000,10256,,경기도 고양시 일산동구 지영동 732번지,37.7129566867,126.8245094111,2021-06-24,
고양시,내유농장,닭,육계,30000,10264,,경기도 고양시 덕양구 내유동 96번지,37.7240710211,126.8618344970,2021-06-24,
고양시,능곡축산,닭,육계,150,10511,경기도 고양시 덕양구 지도로124번길 58,경기도 고양시 덕양구 토당동 897번지,37.6274355760,126.8261458787,2021-06-24,
고양시,다온,닭,육계,14,10455,경기도 고양시 덕양구 호국로 659-16,경기도 고양시 덕양구 화정동 795-5번지,37.6468802364,126.8282486811,2021-06-24,
고양시,닭미장,닭,육계,20,10276,,경기도 고양시 덕양구 선유동 114번지 1호,37.6942912963,126.9142849147,2021-06-24,
고양시,대경축산,닭,산란계,200,10315,경기도 고양시 일산동구 사리현로 39-20,경기도 고양시 일산동구 식사동 260번지,37.6896259870,126.8228047344,2021-06-24,
고양시,대화농장,닭,산란계,50,10213,,경기도 고양시 일산서구 법곳동 1046번지 2호,37.6735416445,126.7159345850,2021-06-24,
고양시,대화농장,닭,산란계,100,10397,경기도 고양시 일산서구 멱절길 218-21,경기도 고양시 일산서구 대화동 1952-4번지,37.6565162368,126.7435200708,2021-06-24,
고양시,덕이농장,오리,,350,10224,경기도 고양시 일산서구 송산로 554-6,경기도 고양시 일산서구 덕이동 901번지,37.6909777159,126.7385425065,2021-06-24,
고양시,덕이축산,닭,육계,45000,10224,경기도 고양시 일산서구 송산로 464-38,경기도 고양시 일산서구 덕이동 1378번지,37.6858515922,126.7305765490,2021-06-24,
고양시,도 농장,닭,산란계,305,10220,경기도 고양시 일산서구 법곳길 222-46,경기도 고양시 일산서구 법곳동 1537번지,37.6678222925,126.7164420119,2021-06-24,
고양시,동물농장,닭,육계,70,10284,경기도 고양시 덕양구 통일로493번안길 53-22,경기도 고양시 덕양구 신원동 산3-1번지,37.6810066244,126.8830910610,2021-06-24,
고양시,두메토종닭,닭,육계,74,10293,경기도 고양시 덕양구 수역이길 119-29,경기도 고양시 덕양구 성사동 429-2번지,37.6568312970,126.8475907340,2021-06-24,
고양시,뜰안에,닭,산란계,50,10299,,경기도 고양시 일산동구 식사동 1313번지,37.6763512986,126.8190993635,2021-06-24,
고양시,민섭이네,닭,육계,28000,,,경기도 고양시 일산서구 대화동 1942번지 39호,37.6535201715,126.7381883803,2021-06-24,
고양시,배영농장,닭,육계,24000,10228,,경기도 고양시 일산서구 덕이동 산179-10,37.7012047226,126.7366582116,2021-06-24,
고양시,법곳농장,닭,육계,50000,10220,경기도 고양시 일산서구 송포로113번길 191-41,경기도 고양시 일산서구 법곳동 748-7번지,37.6683581258,126.7225025965,2021-06-24,
고양시,부근농장,닭,육계,25000,10299,경기도 고양시 일산동구 사리현로 96,경기도 고양시 일산동구 식사동 산 12번지 3호,37.6894981371,126.8304050457,2021-06-24,
고양시,부자농장,닭,육계,12,10276,경기도 고양시 덕양구 서리골길124번길 19-53,경기도 고양시 덕양구 선유동 102번지,37.6937116461,126.9160043995,2021-06-24,
고양시,산너머농장,닭,산란계,100,10329,경기도 고양시 일산동구 중산로 306-142,경기도 고양시 일산동구 성석동 1294-1번지,37.6986860125,126.7894067604,2021-06-24,
고양시,삼승축산,닭,육계,25000,10208,경기도 고양시 일산서구 가좌로140번길 29,경기도 고양시 일산서구 가좌동 951번지,37.6854458171,126.7141471551,2021-06-24,
고양시,삼학농장,닭,육계,25000,10205,경기도 고양시 일산서구 덕산로195번길 112,경기도 고양시 일산서구 가좌동 545-1번지,37.6993616068,126.7222242736,2021-06-24,
고양시,서산농장,닭,산란계,25000,10253,경기도 고양시 일산동구 장진천길 75-26,경기도 고양시 일산동구 설문동 1067번지,37.7149857363,126.8097871577,2021-06-24,
고양시,서울농원,닭,육계,700,10437,경기도 고양시 덕양구 양곡1길 121-39,경기도 고양시 덕양구 행주외동 290번지,37.6119826539,126.8113860964,2021-06-24,
고양시,서울농장,닭,산란계,12000,10299,경기도 고양시 일산동구 사리현로 96,경기도 고양시 일산동구 식사동 산12-3번지,37.6894981371,126.8304050457,2021-06-24,
고양시,수진농장,닭,육계,400,10262,경기도 고양시 덕양구 통일로 937-47,경기도 고양시 덕양구 관산동 847-43번지,37.6996303200,126.8548954269,2021-06-24,
고양시,승희네농장,닭,산란계,100,10454,,경기도 고양시 덕양구 주교동 1031번지 5호,37.6532437024,126.8205161652,2021-06-24,
고양시,신농축산,오리,,2000,10299,경기도 고양시 일산동구 사리현로 96,경기도 고양시 일산동구 식사동 산12-3번지,37.6894981371,126.8304050457,2021-06-24,
고양시,신선농장,닭,육계,23000,10245,경기도 고양시 일산동구 고봉로 679-36,경기도 고양시 일산동구 성석동 1797번지,37.7186655959,126.7874799507,2021-06-24,
고양시,신일농장,닭,산란계,20000,10313,경기도 고양시 일산동구 성현로268번길 68-32,경기도 고양시 일산동구 성석동 61-4번지,37.7020038875,126.8108377513,2021-06-24,
고양시,알프스농장,닭,육계,25000,10220,경기도 고양시 일산서구 법곳길 200-85,경기도 고양시 일산서구 법곳동 1584-1번지,37.6687860578,126.7190624781,2021-06-24,
고양시,에스에프영농조합법인,닭,산란계,36000,10454,경기도 고양시 덕양구 대주로492번길 14,경기도 고양시 덕양구 주교동 1073번지,37.6568019499,126.8247581877,2021-06-24,
고양시,옥자농장,닭,육계,15,10276,,경기도 고양시 덕양구 선유동 109번지,37.6934360601,126.9151929809,2021-06-24,
고양시,원당농원,닭,육계,300,10455,,경기도 고양시 덕양구 화정동 806번지 1호,37.6418532127,126.8249514814,2021-06-24,
고양시,원당농장,닭,육계,25,10290,경기도 고양시 덕양구 공양왕길 56,경기도 고양시 덕양구 원당동 934번지,37.6756092051,126.8433099571,2021-06-24,
고양시,원일농장,닭,육계,150,10261,,경기도 고양시 일산동구 사리현동 150번지,37.6944053847,126.8497814602,2021-06-24,
고양시,유나네자연숲농장,닭,산란계,500,10260,경기도 고양시 일산동구 공릉천로71번길 5,경기도 고양시 일산동구 사리현동 885번지,37.6994307041,126.8448467804,2021-06-24,
고양시,유학농장,닭,육계,90,10453,경기도 고양시 일산동구 고일로 301-8,경기도 고양시 일산동구 산황동 771번지 1호,37.6483065021,126.8037506397,2021-06-24,
고양시,인호농원,닭,육계,700,10455,경기도 고양시 덕양구 호국로 551-28,경기도 고양시 덕양구 화정동 810-1번지,37.6379397436,126.8236368403,2021-06-24,
고양시,일웅농장,닭,육계,1200,10437,경기도 고양시 덕양구 양곡1길 121-43,경기도 고양시 덕양구 행주외동 292번지,37.6118278485,126.8111155992,2021-06-24,
고양시,장수축산,닭,산란계,15000,10229,경기도 고양시 일산서구 미래로 276-7,경기도 고양시 일산서구 덕이동 646-1번지,37.7033284708,126.7473893297,2021-06-24,
고양시,장원농장,닭,육계,2500,10439,경기도 고양시 덕양구 행신로 41,경기도 고양시 덕양구 행주내동 653-1번지,37.6144046475,126.8218332267,2021-06-24,
고양시,장항양계,닭,산란계,35000,10399,경기도 고양시 일산동구 장항로 360-75,경기도 고양시 일산동구 장항동 517-2번지,37.6498985082,126.7645813683,2021-06-24,
고양시,전우농장,닭,육계,90,10488,경기도 고양시 덕양구 서정로65번길 21,경기도 고양시 덕양구 도내동 790-9번지,37.6207427393,126.8542745828,2021-06-24,
고양시,전일양계장,닭,육계,30000,10203,경기도 고양시 일산서구 법곳길 200-10,경기도 고양시 일산서구 법곳동 1602번지,37.6656042412,126.7176785293,2021-06-24,
고양시,정석농원,닭,육계,150,10207,경기도 고양시 일산서구 구산로54번길 172-8,경기도 고양시 일산서구 구산동 1090번지,37.6879722738,126.7105138333,2021-06-24,
고양시,준농장,닭,산란계,200,10256,경기도 고양시 일산동구 지영로148번길 39,경기도 고양시 일산동구 지영동 735-1번지,37.7123858267,126.8246398382,2021-06-24,
고양시,지축농장,닭,육계,300,10584,,경기도 고양시 덕양구 지축동 산 88번지 6호,37.6490243316,126.9235624393,2021-06-24,
고양시,청솔농장,닭,산란계,200,10425,경기도 고양시 일산서구 멱절길 45,경기도 고양시 일산서구 법곳동 267-6번지,37.6593262401,126.7278913468,2021-06-24,
고양시,청송,닭,육계,27000,10208,경기도 고양시 일산서구 가좌로140번길 29,경기도 고양시 일산서구 가좌동 951번지,37.6854458171,126.7141471551,2021-06-24,
고양시,청원농장,오리,,7000,10299,경기도 고양시 일산동구 사리현로 96,경기도 고양시 일산동구 식사동 산12-3번지,37.6894981371,126.8304050457,2021-06-24,
고양시,초원종장,닭,육계,40000,10289,,경기도 고양시 일산동구 사리현동 580번지,37.6875736501,126.8347623674,2021-06-24,
고양시,토담농장,닭,산란계,80,10453,경기도 고양시 일산동구 고일로242번길 47,경기도 고양시 일산동구 산황동 693번지 3호,37.6526318790,126.8005360671,2021-06-24,
고양시,푸른농장,닭,산란계,25000,10203,경기도 고양시 일산서구 법곳길 306-54,경기도 고양시 일산서구 법곳동 1317-2번지,37.6715448711,126.7083633731,2021-06-24,
고양시,풍동농장,닭,산란계,40,10309,경기도 고양시 일산동구 풍산로 129,경기도 고양시 일산동구 풍동 1190-2번지,37.6624188845,126.7927458261,2021-06-24,
고양시,풍동농장,닭,산란계,350,10300,경기도 고양시 일산동구 백마로502번길 89-11,경기도 고양시 일산동구 풍동 1012번지,37.6588071086,126.8037772960,2021-06-24,
고양시,풍성농장,닭,육계,30000,10259,경기도 고양시 일산동구 성현로482번길 26-65,경기도 고양시 일산동구 사리현동 627번지,37.6950584778,126.8350396457,2021-06-24,
고양시,형남농장,닭,육계,20000,10259,경기도 고양시 일산동구 사리현로 129,경기도 고양시 일산동구 사리현동 611,37.6908021300,126.8330700831,2021-06-24,
고양시,황금 투 농장,닭,육계,200,10554,,경기도 고양시 덕양구 도내동 224번지 4호,37.6191888038,126.8689195754,2021-06-24,
고양시,황금농장,오리,,20000,10554,경기도 고양시 덕양구 흥도로70번길 117-40,경기도 고양시 덕양구 도내동 224-3번지,37.6190405338,126.8695185992,2021-06-24,
고양시,효성농장,닭,육계,1000,10262,경기도 고양시 덕양구 통일로 915-98,경기도 고양시 덕양구 관산동 847-89번지,37.6985689144,126.8520007115,2021-06-24,
과천시,강신명,닭,닭,10,13820,경기도 과천시 말두레로 173-4,경기도 과천시 주암동 385-1,37.4516909709,127.0199060128,2021-08-05,
과천시,구정치,닭,닭,25,13823,경기도 과천시 궁말로 4,경기도 과천시 과천동 638-3,37.4396061917,127.0095493754,2021-08-05,
과천시,김흥익,닭,닭,10,13820,경기도 과천시 삼부골2로 12-75,경기도 과천시 주암동 479,37.4438730909,127.0213803910,2021-08-05,
과천시,김흥태,닭,닭,35,13825,경기도 과천시 매봉로 49,경기도 과천시 문원동 938-1,37.4125581368,126.9971599490,2021-08-05,
과천시,대실꽃농원,"닭, 오리",,6,13821,경기도 과천시 광창로 24,경기도 과천시 과천동 139-13,37.4480647679,127.0082844656,2021-08-05,
과천시,박재명,닭,닭,9,13820,경기도 과천시 추사로 53,경기도 과천시 주암동 254-1,37.4517600010,127.0258412819,2021-08-05,
과천시,박재진,닭,닭,7,13824,,경기도 과천시 갈현동 217-1,37.4091886035,126.9861651563,2021-08-05,
과천시,봉동훈,닭,닭,50,13826,경기도 과천시 사기막1길 4,경기도 과천시 문원동 324-3,37.4197123761,126.9986603923,2021-08-05,
과천시,신춘식,닭,닭,4,13826,,경기도 과천시 문원동 371,37.4180285911,126.9988604163,2021-08-05,
과천시,써누농장,닭,닭,30,13820,,경기도 과천시 주암동 386,37.4513014700,127.0200036739,2021-08-05,
과천시,양광석,"닭, 오리",,55,13827,경기도 과천시 윗배랭이길 8,경기도 과천시 문원동 180-1,37.4259348772,127.0058071161,2021-08-05,
과천시,친환경 토종닭 농장,닭,닭,430,13825,,경기도 과천시 문원동 501,37.4135775482,126.9971098064,2021-08-05,
광명시,원광농장,,육계,100,,,경기도 광명시 광명동 537번지,37.4614030,126.8431030,,
광주시,건업농장,육계,,200,12719,경기도 광주시 곤지암읍 장심리 294번지,경기도 광주시 곤지암읍 장심리 294,37.3745726445,127.3991729495,2021-07-30,
광주시,광주농장,산란계,,65000,12729,경기도 광주시 초월읍 산수로554번길 11,경기도 광주시 초월읍 신월리 409-1,37.4108027367,127.3075375101,2021-07-30,
광주시,길샘축산,산란계,,90000,12731,경기도 광주시 초월읍 동막골길256번길 8,경기도 광주시 초월읍 학동리 88,37.3894704471,127.3400591834,2021-07-30,
광주시,대승농장,산란계,,45000,12735,경기도 광주시 초월읍 무들로8번길 28-9,경기도 광주시 초월읍 대쌍령리 53,37.3841433626,127.2935646921,2021-07-30,
광주시,배나무집,육계,,45,12703,경기도 광주시 남한산성면 오전리 432-14번지,경기도 광주시 남한산성면 오전리 432-14,37.4595368429,127.2201989870,2021-07-30,
광주시,영일농장,산란계,,190000,12726,경기도 광주시 곤지암읍 만삼로 9-51,경기도 광주시 곤지암읍 유사리 355-4,37.3727497075,127.4075896764,2021-07-30,
김포시,가우농장,닭,산란계,16000,10030,경기도 김포시 통진읍 가현로149번길 151-13,경기도 김포시 통진읍 가현리 633번지,37.6775322074,126.5853734062,2019-12-02,
김포시,가현농장,닭,산란계,9700,10030,,경기도 김포시 통진읍 가현리 607번지,,,2019-12-02,
김포시,가현농장,닭,산란계,8000,10030,,경기도 김포시 통진읍 가현리 산 50번지,37.6782104088,126.5840366219,2019-12-02,
김포시,가현농장,닭,산란계,40000,10030,경기도 김포시 통진읍 가현로 129,경기도 김포시 통진읍 가현리 604번지 6호 외 2필지,37.6751797644,126.5881683560,2019-12-02,
김포시,갈산농장,닭,육계,260,10025,경기도 김포시 월곶면 군하로 134-34,경기도 김포시 월곶면 갈산리 440번지 1호,37.7059418899,126.5613487353,2019-12-02,
김포시,거목농장,닭,육계,60000,10010,경기도 김포시 통진읍 월하로 586-62,경기도 김포시 통진읍 귀전리 712번지 2호,37.7082536404,126.6191548910,2019-12-02,
김포시,공주양계장,닭,육계,12000,10045,,경기도 김포시 양촌읍 유현리 441번지,37.6342161570,126.6156197877,2019-12-02,
김포시,규은농장,닭,산란계,14,10124,경기도 김포시 고촌읍 신기신동로 23-10,경기도 김포시 고촌읍 신곡리 439번지 43호,37.6087058951,126.7729972627,2019-12-02,
김포시,규환농장,닭,육계,250,10006,경기도 김포시 하성면 하성로1091번길 37-14,경기도 김포시 하성면 시암리 491번지,37.7644987125,126.6367102929,2019-12-02,
김포시,금산농장,닭,산란계,45000,10052,경기도 김포시 양촌읍 금포로1491번길 369-11,경기도 김포시 양촌읍 누산리 1036번지 111호,37.6748584657,126.6596922374,2019-12-02,
김포시,금화농장,닭,산란계,227880,10025,경기도 김포시 월곶면 고양로 183-85,경기도 김포시 월곶면 고양리 629번지,37.6891343701,126.5391946813,2019-12-02,
김포시,기원농장,닭,육계,24000,10029,경기도 김포시 통진읍 절골로25번길 98,경기도 김포시 통진읍 옹정리 294번지 3호,37.6846208467,126.5766784703,2019-12-02,
김포시,기철농장,닭,육계,19000,,,경기도 김포시 양촌읍 양곡리 821번지,37.6555979844,126.6330624888,2019-12-02,
김포시,김포 자연 농장,닭,산란계,30000,10014,경기도 김포시 통진읍 하성로 105-106,경기도 김포시 통진읍 수참리 114번지 1호,37.6856695827,126.6255803816,2019-12-02,
김포시,김포동물농장,닭,산란계,170,10076,경기도 김포시 김포대로 1148,경기도 김포시 운양동 213번지 12호,37.6347822025,126.6953685774,2019-12-02,
김포시,김포축산,닭,산란계,11000,10064,경기도 김포시 양촌읍 석모1로 36,경기도 김포시 양촌읍 석모리 547번지 6호,37.6546750028,126.6592735703,2019-12-02,
김포시,깻잎농원,닭,육계,100,10123,경기도 김포시 고촌읍 금포로491번길 35-20,경기도 김포시 고촌읍 풍곡리 75번지 34호,37.6176310179,126.7674827936,2019-12-02,
김포시,농업회사법인 (주)제일영농,닭,육계,1000,10012,,경기도 김포시 하성면 석탄리 734번지 7호,37.7204533762,126.6521694527,2019-12-02,
김포시,담안에 농원,닭,육계,300,10006,경기도 김포시 하성면 하성로 1197-10,경기도 김포시 하성면 시암리 140번지 2호,37.7667518280,126.6453469576,2019-12-02,
김포시,대곶농장,닭,육계,300,10040,,경기도 김포시 대곶면 율생리 570번지,37.6508217219,126.5766436748,2019-12-02,
김포시,대명농장,닭,육계,20000,10040,경기도 김포시 대곶면 대곶로20번길 207,경기도 김포시 대곶면 대명리 57번지,37.6534145431,126.5591989649,2019-12-02,
김포시,대명농장Ⅱ,닭,육계,25000,10040,경기도 김포시 대곶면 학의동로34번길 42,경기도 김포시 대곶면 대명리 583번지,37.6550127473,126.5584305851,2019-12-02,
김포시,대성농장,닭,육계,20000,10049,,경기도 김포시 양촌읍 학운리 1032번지,37.6090818417,126.6002798829,2019-12-02,
김포시,대포농장,닭,육계,30000,10048,,경기도 김포시 양촌읍 대포리 261번지 18호,,,2019-12-02,
김포시,도수농장,닭,산란계,20000,10030,경기도 김포시 통진읍 마송2로104번길 58-25,경기도 김포시 통진읍 마송리 399번지 3호,37.6844219410,126.5893489103,2019-12-02,
김포시,도현 농장,닭,산란계,0,10033,경기도 김포시 통진읍 율마로276번길 45-2,경기도 김포시 통진읍 가현리 798번지,37.6758593416,126.6010768499,2019-12-02,
김포시,동해농장,닭,산란계,12000,10069,,경기도 김포시 양촌읍 구래리 742번지,,,2019-12-02,
김포시,두레농장,닭,육계,1300,10046,경기도 김포시 대곶면 삭시갈마로 73,경기도 김포시 대곶면 대능리 700번지,37.6259596913,126.6007035995,2019-12-02,
김포시,두우농장,닭,육계,23000,,,경기도 김포시 양촌읍 구래리 산 198번지,,,2019-12-02,
김포시,드림농장,닭,산란계,1000,10023,경기도 김포시 월곶면 월하로 87,경기도 김포시 월곶면 갈산리 200번지,37.7133934557,126.5667459420,2019-12-02,
김포시,루디요안 농장,닭,산란계,120,10001,경기도 김포시 월곶면 용강로437번길 45-26,경기도 김포시 월곶면 용강리 335번지 7호,37.7561449727,126.5535402997,2019-12-02,
김포시,말무리농장,닭,산란계,5000,10010,경기도 김포시 통진읍 애기봉로571번길 128-70,경기도 김포시 통진읍 귀전리 84번지,37.7326313145,126.6068254671,2019-12-02,
김포시,명석농장,닭,육계,20000,10022,경기도 김포시 월곶면 고척로 7,경기도 김포시 월곶면 갈산리 19번지,37.7147942666,126.5786867279,2019-12-02,
김포시,무량농장,닭,육계,20000,10045,,경기도 김포시 양촌읍 구래리 295번지 23호,,,2019-12-02,
김포시,문수골농원,닭,육계,35,10000,,경기도 김포시 월곶면 성동리 212번지 7호,37.7402794493,126.5343697164,2019-12-02,
김포시,미혜농장,닭,산란계,1000,10046,,경기도 김포시 대곶면 대능리 622번지 23호,37.6212458738,126.5927044521,2019-12-02,
